Date;Index;BTC ($);VWCE (EUR);BTCE (EUR);SSLN (EUR)
2025-03-16 18:24:10;21;83,857.41;127.34;70.32;29.63
2025-03-16 18:25:55;21;83,828.43;127.34;70.32;29.59
